Date,Article Title,Operative,City/Town,State/Provence,Country,Reference,NumberPeopleAffected,OutageDurationMinutes
11/17/2020,Squirrelly situation: Critter causes South Carolina outages,Squirrel,Columbia,SC,United States,https://apnews.com/article/matt-long-columbia-power-outages-south-carolina-55e4941922ad8f3ca621e7abcad81b9e,1800,
11/3/2020,Omaha squirrel behind election office blackout has died,Squirrel,Omaha,NE,United States,https://www.wowt.com/2020/11/03/omaha-squirrel-behind-election-office-blackout-has-died/,,120
5/8/2020,Bull's bid to scratch 'itchy bum' cuts off power to 800 homes,Cow,Chapelton,South Lanarkshire,Scotland,https://www.bbc.com/news/uk-scotland-glasgow-west-52591605,800,300
10/23/2019,Squirrel blamed for morning power outage in SW Topeka,Squirrel,Topeka,KS,United States,https://www.wibw.com/content/news/3000-without-power-in-SW-Topeka-563701701.html,4000,60
9/12/2019,A Cona un topo manda in tilt l’erogazione diretta dei farmaci,Mouse,Cona,,Italy,https://www.estense.com/?p=806648,,
8/11/2019,Large power outage affects Purdue campus ahead of move-in day,Squirrel,West Lafayette,IN,United States,https://www.wthr.com/article/news/local/indiana/large-power-outage-affects-purdue-campus-ahead-move-day/531-47e1212c-3b74-4354-a33a-479460d3186c,4400,450
6/25/2019,Squirrel causes power outage that closes Mahoning County Courthouse,Squirrel,Youngstown,OH,United States,https://www.wkbn.com/news/local-news/mahoning-county-courthouse-closed-due-to-power-outage/,21,50
6/21/2019,Rogue slug blamed for Japanese railway chaos,Slug,,Kyushu ,Japan,https://www.bbc.com/news/world-asia-48729110,,
6/20/2019,Two-year-old leopard electrocuted in Sohna,Leopard,Lala Kherli ,Sohna,India,https://www.hindustantimes.com/cities/two-year-old-leopard-electrocuted-in-sohna/story-iIcXN4DyN4KFjdvCwPKm9M.html,,
6/14/2019,Fallen bird's nest cause of power outage at Tropicana Field,Bird Nest,St Petersburg,FL,United States,https://www.fox13news.com/news/fallen-birds-nest-cause-of-power-outage-at-tropicana-field,,
6/5/2019,Avian incident' causes fire at California solar farm,Bird,San Luis Obispo,CA,United States,https://www.sfgate.com/news/us/article/Avian-incident-causes-fire-at-California-solar-14025718.php,,
6/3/2019,GPA: Electrocuted cat caused outage,Cat,Mangilao,Guam,United States,https://www.postguam.com/news/local/gpa-electrocuted-cat-caused-outage/article_141178c4-8505-11e9-b8e3-830692cf65de.html,,120
5/23/2019,Squirrel causes east-end transformer fire that led to power outage,Squirrel,Toronto,ON,Canada,https://toronto.citynews.ca/2019/05/23/squirrel-causes-east-end-transformer-fire-that-led-to-power-outage/,4000,
5/16/2019,"Squirrel disrupts power to more than 2,000 in Brewer area",Squirrel,Bewer,ME,United States,https://bangordailynews.com/2019/05/16/news/bangor/squirrel-disrupts-power-to-more-than-2000-in-brewer-area/,2400,30
3/8/2019,"Squirrel Cuts Power To 3,000 Weymouth Homes",Squirrel,Weymouth,MA,United States,https://patch.com/massachusetts/weymouth/weymouth-power-outage-over-3-000-homes-dark,3400,43
1/19/2019,"Bird collides with power system, knocks out electricity and most traffic lights in Hammond",Bird,Hammond,LA,United States,http://www.wbrz.com/news/bird-collides-with-power-system-knocks-out-electricity-and-most-traffic-lights-in-hammond/,22000,
1/17/2019,"Norfolk high school dismisses early after squirrel chews through cable, causes major power outage",Squirrel,Norfolk,VA,United States,https://wtkr.com/2019/01/17/norfolk-high-school-dismisses-early-after-transformer-issue-causes-major-power-outage/,,
1/16/2019,"Squirrel cuts power to 1,400 in downtown Bangor",Squirrel,Bangor,ME,United States,https://bangordailynews.com/2019/01/16/news/bangor/more-than-1100-customers-in-downtown-bangor-lose-power/,1400,60
1/16/2019,"Fire, power outage caused by squirrel nes",Squirrel,Trinity,CA,United States,http://www.trinityjournal.com/news/local/article_f9575942-1928-11e9-84df-4f66d31886b6.html,,
1/16/2019,"Squirrel cuts power to 1,400 in downtown Bangor",Squirrel,Bangor,MN,United States,https://bangordailynews.com/2019/01/16/news/bangor/more-than-1100-customers-in-downtown-bangor-lose-power/,1400,60
1/4/2019,Squirrel knocks out power to south end of Red Bluff,Squirrel,Red Bluff,CA,United States,https://www.redbluffdailynews.com/2019/01/04/squirrel-knocks-out-power-to-south-end-of-red-bluff/,1700,
12/31/2018,Raccoon causes power outage in Florida community,Raccoon,Kissimmee,FL,United States,https://www.abcactionnews.com/news/state/raccoon-causes-power-outage-in-florida-community,3000,
12/18/2018,"A week before Christmas, squirrel shuts down power to mall, thousands more, Duke says",Squirrel,Andersen,SC,United States,https://www.heraldsun.com/news/state/south-carolina/article223279590.html,4000,120
